frame,time_s,x,y,kalman_x,kalman_y,kalman_vx_px_s,kalman_vy_px_s,area,bbox_w,bbox_h,flow_px
0,0.0,20.839640491958374,188.6996215704825,20.83963966369629,188.69961547851562,0.0,0.0,2114,40,55,
5,0.5,20.882631329862754,188.66777094178892,20.841482162475586,188.69825744628906,0.0006172357825562358,-0.00045720356865786016,2113,40,55,0.11969681084156036
10,1.0,20.917022285443338,188.6249407302039,20.84990882873535,188.69020080566406,0.0035797380842268467,-0.003338178852573037,2109,40,54,0.0937243402004242
15,1.5,20.900332225913623,188.625059326056,20.86259651184082,188.6748504638672,0.006695910822600126,-0.007449258118867874,2107,40,54,0.0713534951210022
20,2.0,20.89089184060721,188.6337760910816,20.875410079956055,188.6578826904297,0.00853944756090641,-0.010319731198251247,2108,40,54,0.07210847735404968
25,2.5,21.48125633232016,188.5,21.089900970458984,188.5966796875,0.06439997255802155,-0.024120353162288666,1974,38,52,9.545882225036621
30,3.0,21.00903471231574,188.5126010461246,21.0994930267334,188.54994201660156,0.0506000891327858,-0.02981562912464142,2103,39,54,92.59235382080078
35,3.5,21.00903471231574,188.5126010461246,21.09494972229004,188.51718139648438,0.03732279688119888,-0.03052370436489582,2103,39,54,0.45373430848121643
40,4.0,21.018060836501903,188.5,21.08710479736328,188.491943359375,0.02668146789073944,-0.029281150549650192,2104,39,54,1.9084056615829468
45,4.5,21.0,188.5,21.06865119934082,188.47747802734375,0.016122322529554367,-0.02581624500453472,2106,39,54,0.7797200679779053
50,5.0,21.00903471231574,188.5126010461246,21.054698944091797,188.47586059570312,0.009082777425646782,-0.02015184797346592,2103,39,54,15.611740112304688
55,5.5,21.00903471231574,188.5126010461246,21.042015075683594,188.47833251953125,0.0039716255851089954,-0.0148396547883749,2103,39,54,5.27231502532959
60,6.0,21.0,188.5,21.027671813964844,188.47802734375,-0.00034301180858165026,-0.011413714848458767,2102,39,54,11.001825332641602
65,6.5,21.018060836501903,188.5,21.023630142211914,188.4799346923828,-0.0012161781778559089,-0.008268231526017189,2104,39,54,30.26652717590332
70,7.0,21.018060836501903,188.5,21.020673751831055,188.4829864501953,-0.001627453719265759,-0.005590795073658228,2104,39,54,16.84487533569336
75,7.5,21.00903471231574,188.5126010461246,21.01504135131836,188.49148559570312,-0.002575148595497012,-0.002258606720715761,2103,39,54,6.298789978027344
80,8.0,21.00903471231574,188.5126010461246,21.011093139648438,188.4985809326172,-0.0029002635274082422,-4.370509122963995e-05,2103,39,54,0.9967697262763977
