frame,time_s,x,y,kalman_x,kalman_y,kalman_vx_px_s,kalman_vy_px_s,area,bbox_w,bbox_h,flow_px
2,0.06666666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,126.89997100830078
3,0.1,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0002138868730980903
4,0.13333333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.12356497347354889
5,0.16666666666666666,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,4.9591064453125e-05
6,0.2,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,7.010747503954917e-05
7,0.23333333333333334,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.12819990515708923
8,0.26666666666666666,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00019763255841098726
9,0.3,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.000937794684432447
10,0.3333333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.13861171901226044
11,0.36666666666666664,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00016033730935305357
12,0.4,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00014376653416547924
13,0.43333333333333335,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.1430460661649704
14,0.4666666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0
15,0.5,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0008481998229399323
16,0.5333333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.10547453165054321
17,0.5666666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00015919898578431457
18,0.6,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00017561651475261897
19,0.6333333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.08578133583068848
20,0.6666666666666666,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0008905170252546668
21,0.7,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00038528541335836053
22,0.7333333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.19749799370765686
23,0.7666666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0018042775336652994
24,0.8,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.001010004198178649
25,0.8333333333333334,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.08774802088737488
26,0.8666666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0002846586867235601
27,0.9,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.000498197739943862
28,0.9333333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.11131015419960022
29,0.9666666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,7.62939453125e-05
30,1.0,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00011215607810299844
31,1.0333333333333334,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.06934839487075806
32,1.0666666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0007501352811232209
33,1.1,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00031655197381041944
34,1.1333333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.19485566020011902
35,1.1666666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0017032549949362874
36,1.2,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0013165061827749014
37,1.2333333333333334,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.07350213825702667
38,1.2666666666666666,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0005752319702878594
39,1.3,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00114294677041471
40,1.3333333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.11608883738517761
41,1.3666666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00014136466779746115
42,1.4,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00015884556341916323
43,1.4333333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.08607219159603119
44,1.4666666666666666,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0010876089800149202
45,1.5,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00023538243840448558
46,1.5333333333333334,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.12523223459720612
47,1.5666666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0007961665978655219
48,1.6,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00046533026034012437
49,1.6333333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.1553158164024353
50,1.6666666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,7.981965609360486e-05
51,1.7,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.10748010873794556
52,1.7333333333333334,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00014364722301252186
53,1.7666666666666666,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0008538545807823539
54,1.8,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.12395170331001282
55,1.8333333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.003991694189608097
56,1.8666666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0019228693563491106
57,1.9,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.03788186237215996
58,1.9333333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00015560972678940743
59,1.9666666666666666,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00832010805606842
60,2.0,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.10096780955791473
61,2.033333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,9.171140845865011e-05
62,2.066666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,9.710449376143515e-05
63,2.1,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.08203321695327759
64,2.1333333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00020026373385917395
65,2.1666666666666665,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0006264913245104253
66,2.2,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0006097867153584957
67,2.2333333333333334,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0004994085757061839
68,2.2666666666666666,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0004432658024597913
69,2.3,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00033494061790406704
70,2.3333333333333335,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0007069512503221631
71,2.3666666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0005224797641858459
72,2.4,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.13032324612140656
73,2.433333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00017452239990234375
74,2.466666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0001258271950064227
75,2.5,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.11062987893819809
76,2.533333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,6.127265078248456e-05
77,2.566666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0005351351574063301
78,2.6,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.033241238445043564
79,2.6333333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.001155683770775795
80,2.6666666666666665,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0005050242180004716
81,2.7,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.1283474713563919
82,2.7333333333333334,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00018468566122464836
83,2.7666666666666666,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0007735526887699962
84,2.8,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.1516021341085434
85,2.8333333333333335,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,5.80257510591764e-05
86,2.8666666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,4.31583721365314e-05
87,2.9,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.1030169129371643
88,2.933333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0011178550776094198
89,2.966666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.001085581723600626
90,3.0,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.06873775273561478
91,3.033333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0010152682662010193
92,3.066666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0006345309084281325
93,3.1,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.08057644218206406
94,3.1333333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0004237982793711126
95,3.1666666666666665,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00032188775367103517
96,3.2,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0912490263581276
97,3.2333333333333334,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00014321922208182514
98,3.2666666666666666,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00013647876039613038
99,3.3,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.03559150546789169
100,3.3333333333333335,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00021602361812256277
101,3.3666666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00023834990861359984
102,3.4,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00023462864919565618
103,3.433333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.06942933797836304
104,3.466666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.002883786568418145
105,3.5,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.00012109761883039027
106,3.533333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.11951375007629395
107,3.566666666666667,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0023439875803887844
108,3.6,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0014521002303808928
109,3.6333333333333333,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.08385191857814789
110,3.6666666666666665,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.001017245464026928
111,3.7,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.0012209061533212662
112,3.7333333333333334,131.02514405447877,310.0,131.025146484375,310.0,0.0,0.0,1909,49,39,0.06516680121421814
