frame,time_s,x,y,kalman_x,kalman_y,kalman_vx_px_s,kalman_vy_px_s,area,bbox_w,bbox_h,flow_px
0,0.0,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,
1,0.03333333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.00042203726479783654
2,0.06666666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.00042751847649924457
3,0.1,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0001373291015625
4,0.13333333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0008975489181466401
5,0.16666666666666666,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0006104397471062839
6,0.2,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0008336143218912184
7,0.23333333333333334,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.00042969139758497477
8,0.26666666666666666,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0011696636211127043
9,0.3,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.018328899517655373
10,0.3333333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.004156807903200388
11,0.36666666666666664,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.00027197503368370235
12,0.4,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.00034670409513637424
13,0.43333333333333335,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.14345835149288177
14,0.4666666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.20907410979270935
15,0.5,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.000953415990807116
16,0.5333333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.01676233485341072
17,0.5666666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0015109283849596977
18,0.6,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.013213655911386013
19,0.6333333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.14329463243484497
20,0.6666666666666666,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.004565670154988766
21,0.7,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0009166710660792887
22,0.7333333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0005988467019051313
23,0.7666666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.029086798429489136
24,0.8,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.019105209037661552
25,0.8333333333333334,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.002052860101684928
26,0.8666666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.004949501715600491
27,0.9,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.000487735727801919
28,0.9333333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.026624353602528572
29,0.9666666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.12577901780605316
30,1.0,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.007318329531699419
31,1.0333333333333334,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.00575262913480401
32,1.0666666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.12666301429271698
33,1.1,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.025154557079076767
34,1.1333333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.06321287900209427
35,1.1666666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.00013775973638985306
36,1.2,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.000152587890625
37,1.2333333333333334,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.01218023244291544
38,1.2666666666666666,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.07185055315494537
39,1.3,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.003694287035614252
40,1.3333333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.001252817688509822
41,1.3666666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0005407367134466767
42,1.4,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0003958905581384897
43,1.4333333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.09285464882850647
44,1.4666666666666666,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.327366441488266
45,1.5,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.005211798939853907
46,1.5333333333333334,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.002489764941856265
47,1.5666666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.004993719048798084
48,1.6,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0016762807499617338
49,1.6333333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.050778284668922424
50,1.6666666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.00036036191158927977
51,1.7,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0037423581816256046
52,1.7333333333333334,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0005482959095388651
53,1.7666666666666666,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.003643984906375408
54,1.8,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0030954591929912567
55,1.8333333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.05689689889550209
56,1.8666666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0277250949293375
57,1.9,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.15565283596515656
58,1.9333333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.004393088631331921
59,1.9666666666666666,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0058015696704387665
60,2.0,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.011547103524208069
61,2.033333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.038285329937934875
62,2.066666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.010630309581756592
63,2.1,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0006765282596461475
64,2.1333333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0012825554003939033
65,2.1666666666666665,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.04353052005171776
66,2.2,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0010238857939839363
67,2.2333333333333334,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.04517875611782074
68,2.2666666666666666,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0016519180499017239
69,2.3,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0016634855419397354
70,2.3333333333333335,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.02660837583243847
71,2.3666666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0084964195266366
72,2.4,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.07004722207784653
73,2.433333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0007363847689703107
74,2.466666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0006736370851285756
75,2.5,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.38793817162513733
76,2.533333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.005127770360559225
77,2.566666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0014128140173852444
78,2.6,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0013332244707271457
79,2.6333333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.002688666107133031
80,2.6666666666666665,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.010143355466425419
81,2.7,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.005572343245148659
82,2.7333333333333334,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.012218393385410309
83,2.7666666666666666,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0007753646932542324
84,2.8,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.003944676835089922
85,2.8333333333333335,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.1485469788312912
86,2.8666666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.039145536720752716
87,2.9,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0003009503707289696
88,2.933333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0003452669770922512
89,2.966666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.06332799047231674
90,3.0,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.07121879607439041
91,3.033333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.024908460676670074
92,3.066666666666667,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.00197131116874516
93,3.1,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.0019184459233656526
94,3.1333333333333333,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.05499596521258354
95,3.1666666666666665,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.02872420847415924
96,3.2,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.026099849492311478
97,3.2333333333333334,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.001193799078464508
98,3.2666666666666666,321.5,16.5,321.5,16.5,0.0,0.0,1968,82,24,0.00048252526903524995
