frame,time_s,x,y,kalman_x,kalman_y,kalman_vx_px_s,kalman_vy_px_s,area,bbox_w,bbox_h,flow_px
0,0.0,604.7181208053692,291.98196308724835,604.7181396484375,291.9819641113281,0.0,0.0,2384,59,41,
1,0.03336666666666667,604.7181208053692,291.98196308724835,604.7181396484375,291.9819641113281,0.0,0.0,2384,59,41,0.00308469170704484
2,0.06673333333333334,604.7181208053692,291.98196308724835,604.7181396484375,291.9819641113281,0.0,0.0,2384,59,41,0.08570397645235062
3,0.10010000000000001,604.7181208053692,291.98196308724835,604.7181396484375,291.9819641113281,0.0,0.0,2384,59,41,0.04179437458515167
4,0.13346666666666668,604.7384744341995,291.99916177703267,604.723876953125,291.9868469238281,0.0017347870161756873,0.0014690989628434181,2386,59,42,0.09042522311210632
5,0.16683333333333333,604.6981528127624,291.9903442485306,604.7161254882812,291.989013671875,-0.0008281246409751475,0.0016603184631094337,2382,59,42,0.07965609431266785
6,0.20020000000000002,604.6982794796475,291.9987410826689,604.7088623046875,291.99371337890625,-0.002440022537484765,0.002428579144179821,2383,59,42,0.07564587891101837
7,0.23356666666666667,604.6982794796475,291.9987410826689,604.7032470703125,291.9971618652344,-0.003204111009836197,0.0026727428194135427,2383,59,42,0.04773842915892601
8,0.26693333333333336,604.744030163385,292.00251361541683,604.7174682617188,292.0008850097656,0.0008903485140763223,0.0029201165307313204,2387,59,42,0.08707225322723389
9,0.3003,604.7185402684564,291.9890939597315,604.7184448242188,291.99798583984375,0.0009073402616195381,0.0015551111428067088,2384,59,42,0.07238420099020004
10,0.33366666666666667,604.7223154362416,291.9765100671141,604.7205200195312,291.9903869628906,0.0011796397157013416,-0.0005864109843969345,2384,59,41,0.06717652082443237
11,0.3670333333333333,604.7098532494759,291.98155136268343,604.7169799804688,291.98651123046875,7.417932647513226e-05,-0.0013585237320512533,2385,60,41,0.0556282140314579
12,0.40040000000000003,604.731043150398,291.9815668202765,604.7225952148438,291.98370361328125,0.0013855714350938797,-0.0016935300081968307,2387,60,42,0.07366780191659927
13,0.4337666666666667,604.6977329974811,291.97649034424853,604.7135009765625,291.9798278808594,-0.001087112003006041,-0.0022139435168355703,2382,59,41,0.1094820648431778
14,0.46713333333333334,604.7341719077568,291.9769392033543,604.7211303710938,291.9773254394531,0.0009717891225591302,-0.002277383115142584,2385,59,41,0.043073322623968124
15,0.5005000000000001,604.7347024308466,291.9853310980721,604.7271118164062,291.9791564941406,0.0021619596518576145,-0.0013038698816671968,2386,59,41,0.07187186926603317
16,0.5338666666666667,604.7422464375524,291.9723386420788,604.7344360351562,291.97564697265625,0.0033937457483261824,-0.00182434287853539,2386,59,41,0.05002816766500473
17,0.5672333333333334,604.7545035609552,291.97863426895685,604.7445068359375,291.9757385253906,0.004973199684172869,-0.001367284799925983,2387,59,41,0.10481660813093185
18,0.6006,604.7300125575555,291.9757220594391,604.74169921875,291.97491455078125,0.003133108140900731,-0.0012399828992784023,2389,60,41,0.06249278038740158
19,0.6339666666666667,604.7294807370184,291.9673366834171,604.7386474609375,291.97113037109375,0.0016806613421067595,-0.0018389001488685608,2388,60,41,0.06531111150979996
20,0.6673333333333333,604.7046025104603,291.97824267782426,604.7260131835938,291.9728698730469,-0.0017102817073464394,-0.0009911643574014306,2390,60,41,0.0757693350315094
21,0.7007,604.7295939723733,291.9891167852658,604.7264404296875,291.9787902832031,-0.0012068547075614333,0.0006406335160136223,2389,60,41,0.08546522259712219
22,0.7340666666666666,604.7295939723733,291.98995395562997,604.7269897460938,291.983642578125,-0.0007902279030531645,0.0016388018848374486,2389,60,41,0.06576571613550186
23,0.7674333333333333,604.7175188600168,291.97108130762786,604.7227172851562,291.9795837402344,-0.0016119095962494612,0.000290549622150138,2386,60,41,0.07024574279785156
24,0.8008000000000001,604.718292172457,291.99162829635833,604.719970703125,291.9845886230469,-0.0018838760443031788,0.0014044545823708177,2389,60,41,0.09378686547279358
25,0.8341666666666667,604.7309304274937,291.9740150880134,604.7232666015625,291.981201171875,-0.0006629133131355047,0.0002702901547309011,2386,59,41,0.07192076742649078
26,0.8675333333333334,604.7186582809225,291.9576519916142,604.7210083007812,291.971923828125,-0.0010390410898253322,-0.0019893699791282415,2385,59,41,0.04868273064494133
27,0.9009,604.7278056951424,291.9828308207705,604.7230834960938,291.97509765625,-0.0002983558224514127,-0.0007683965959586203,2388,59,41,0.08016881346702576
28,0.9342666666666667,604.7400586019255,291.9891167852658,604.7296752929688,291.9802551269531,0.0013392568798735738,0.0006319647654891014,2389,59,41,0.054431743919849396
29,0.9676333333333333,604.7298994974874,291.9828308207705,604.7305908203125,291.9816589355469,0.0012350976467132568,0.0008142434526234865,2388,59,41,0.07908955961465836
30,1.0010000000000001,604.7215242881072,291.9937185929648,604.7276611328125,291.9869689941406,0.0002571574877947569,0.0018789829919114709,2388,59,41,0.0685129389166832
31,1.0343666666666667,604.7380753138075,292.0025104602511,604.7319946289062,291.99432373046875,0.0012235244503244758,0.003172294469550252,2390,59,41,0.059450287371873856
32,1.0677333333333334,604.7493723849373,291.9891213389121,604.7396850585938,291.994140625,0.0027569811791181564,0.0023795263841748238,2390,59,41,0.03931478038430214
33,1.1011,604.7286432160804,291.97236180904525,604.7368774414062,291.9868469238281,0.001449202885851264,8.802107186056674e-05,2388,59,41,0.09325876832008362
34,1.1344666666666667,604.7404771871076,291.9807450816241,604.7391967773438,291.9844665527344,0.00165173492860049,-0.0004993219044990838,2389,59,41,0.03555547073483467
35,1.1678333333333333,604.7215242881072,291.9857621440536,604.7330932617188,291.98468017578125,-0.00018262678349856287,-0.0003315096255391836,2388,59,41,0.06056080758571625
36,1.2012,604.7215242881072,291.9857621440536,604.7283325195312,291.9848937988281,-0.0012647266266867518,-0.00019841713947243989,2388,59,41,0.03088831529021263
37,1.2345666666666666,604.7117720988689,291.9773774612484,604.720947265625,291.98175048828125,-0.00271138409152627,-0.0008899194072000682,2387,59,41,0.06745415180921555
38,1.2679333333333334,604.7117720988689,291.9773774612484,604.7156982421875,291.9794616699219,-0.0033247668761759996,-0.001219757366925478,2387,59,41,0.034852638840675354
39,1.3013000000000001,604.7240368509213,291.97738693467335,604.7171020507812,291.9779052734375,-0.0022195205092430115,-0.0013007702073082328,2388,59,41,0.05894051119685173
40,1.3346666666666667,604.7607695524885,291.97783354245087,604.7332763671875,291.9770812988281,0.002126238541677594,-0.0011821442749351263,2391,59,41,0.03027605637907982
41,1.3680333333333334,604.7700668896321,291.96989966555185,604.7493286132812,291.9734802246094,0.00541304424405098,-0.001749234041199088,2392,59,41,0.06512786448001862
