frame,time_s,x,y,kalman_x,kalman_y,kalman_vx_px_s,kalman_vy_px_s,area,bbox_w,bbox_h,flow_px
0,0.0,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,
1,0.03333333333333333,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.001319158705882728
2,0.06666666666666667,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0005056582158431411
3,0.1,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0005439346423372626
4,0.13333333333333333,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.005012065172195435
5,0.16666666666666666,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0011793655576184392
6,0.2,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0013130998704582453
7,0.23333333333333334,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.028974205255508423
8,0.26666666666666666,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.003190451767295599
9,0.3,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0058635566383600235
10,0.3333333333333333,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.017285998910665512
11,0.36666666666666664,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0018048330675810575
12,0.4,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.005701032467186451
13,0.43333333333333335,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.06129245460033417
14,0.4666666666666667,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.004449775442481041
15,0.5,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.010823245160281658
16,0.5333333333333333,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.02986668050289154
17,0.5666666666666667,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.003644468728452921
18,0.6,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0013091920409351587
19,0.6333333333333333,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.002048772294074297
20,0.6666666666666666,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0032081769313663244
21,0.7,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.002073324052616954
22,0.7333333333333333,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0018723199609667063
23,0.7666666666666667,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0007136601489037275
24,0.8,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0008849333971738815
25,0.8333333333333334,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.07718940824270248
26,0.8666666666666667,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0026746648363769054
27,0.9,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.008144870400428772
28,0.9333333333333333,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.010773290880024433
29,0.9666666666666667,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.010836161673069
30,1.0,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.007504328619688749
31,1.0333333333333334,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.017345542088150978
32,1.0666666666666667,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.008733706548810005
33,1.1,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.007419084198772907
34,1.1333333333333333,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.007884012535214424
35,1.1666666666666667,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0028652711771428585
36,1.2,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0021834340877830982
37,1.2333333333333334,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.076036736369133
38,1.2666666666666666,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.016509532928466797
39,1.3,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.007461215369403362
40,1.3333333333333333,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.1783217191696167
41,1.3666666666666667,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.00891411118209362
42,1.4,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.007821908220648766
43,1.4333333333333333,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0823664665222168
44,1.4666666666666666,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.016202792525291443
45,1.5,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.016157720237970352
46,1.5333333333333334,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.033214833587408066
47,1.5666666666666667,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0032449185382574797
48,1.6,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0034779724664986134
49,1.6333333333333333,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0002846302231773734
50,1.6666666666666667,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.00037287341547198594
51,1.7,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.00013947987463325262
52,1.7333333333333334,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.0001865114609245211
53,1.7666666666666666,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.00044092070311307907
54,1.8,325.5,18.0,325.5,18.0,0.0,0.0,2484,92,27,0.00039804461994208395
